ID,"class","handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
356,republican,y,n,y,y,n,n,n,y,y,y,n,n,n,y,y,y
29,republican,y,n,n,y,y,n,y,y,y,n,n,y,y,y,n,y
344,republican,n,n,n,y,y,n,y,n,y,y,n,n,n,y,n,y
396,democrat,y,y,y,unknown,n,n,n,y,n,n,y,unknown,n,n,y,y
32,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,unknown
205,republican,n,n,y,y,y,y,y,n,n,n,n,y,y,y,n,y
402,republican,n,y,n,y,y,y,n,n,n,y,y,y,y,y,n,n
431,republican,n,n,y,y,y,y,n,n,y,y,n,y,y,y,n,y
375,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
129,democrat,n,unknown,y,n,n,y,n,y,n,y,y,n,n,n,y,y
25,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
170,democrat,y,n,y,n,n,n,y,y,y,y,y,n,n,y,n,y
193,democrat,n,n,n,n,n,y,y,y,y,n,y,n,n,y,y,y
318,democrat,y,n,n,n,n,n,y,y,y,y,n,n,n,n,y,y
72,republican,y,y,y,y,n,n,y,y,y,y,y,n,n,y,n,y
153,democrat,n,y,y,n,n,y,n,y,y,y,y,n,y,n,y,y
413,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
194,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
328,republican,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
311,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,y,n
154,democrat,n,n,y,n,n,y,y,y,y,y,y,n,y,y,n,y
74,republican,y,n,y,y,y,n,y,n,y,y,n,n,y,y,n,y
38,republican,y,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
258,republican,n,n,n,y,y,n,n,n,n,n,n,y,n,y,unknown,y
20,democrat,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
334,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
18,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,y,n,y,y
16,republican,n,y,n,y,y,y,n,n,n,y,n,y,y,unknown,n,unknown
408,democrat,n,n,n,y,y,y,n,n,n,n,y,y,y,y,n,n
401,republican,n,y,n,y,y,y,n,unknown,n,n,unknown,unknown,unknown,y,n,unknown
165,democrat,y,y,n,n,y,y,n,n,n,y,y,y,y,y,n,unknown
188,democrat,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
152,democrat,y,y,unknown,y,y,y,n,n,y,n,y,unknown,y,y,n,n
49,democrat,y,y,y,n,n,n,y,y,n,n,n,n,n,y,n,y
275,republican,y,n,n,y,y,n,y,n,n,y,n,n,n,y,y,y
374,democrat,n,y,y,unknown,y,y,n,y,n,y,unknown,n,y,y,unknown,y
410,republican,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,n
237,democrat,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,y
422,democrat,n,y,y,n,y,y,y,y,n,n,y,n,y,n,y,y
362,democrat,y,n,y,n,y,y,y,n,y,y,n,n,y,y,n,unknown
405,republican,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,y
347,republican,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,y
294,democrat,y,y,y,n,n,y,y,y,y,y,y,n,y,y,y,y
109,democrat,y,unknown,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
209,democrat,n,n,y,n,n,n,y,y,y,n,n,unknown,n,n,y,y
122,republican,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
266,democrat,y,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
364,republican,y,y,n,y,y,y,n,n,n,y,y,n,y,n,n,n
140,democrat,y,n,y,n,n,y,y,y,y,n,n,n,n,n,y,y
346,republican,n,n,n,y,y,y,y,n,n,y,n,y,n,y,y,y
296,republican,n,y,n,y,y,y,unknown,unknown,n,y,n,y,unknown,unknown,unknown,unknown
368,democrat,y,y,y,n,y,y,y,y,n,y,y,n,n,n,y,unknown
