ID,"class"
107,republican
241,republican
51,republican
428,republican
376,republican
161,republican
7,republican
352,republican
34,republican
432,republican
147,republican
126,republican
335,republican
355,republican
336,republican
150,republican
82,republican
367,republican
300,republican
252,republican
279,republican
302,republican
259,republican
269,republican
27,republican
343,republican
168,republican
124,republican
309,republican
81,republican
224,republican
330,republican
319,republican
173,republican
297,republican
131,republican
370,republican
202,republican
342,republican
10,republican
111,republican
191,republican
378,republican
127,republican
180,republican
5,republican
417,republican
102,republican
182,republican
54,republican
14,republican
384,republican
348,republican
31,republican
229,republican
398,republican
120,republican
96,republican
277,republican
39,republican
3,republican
233,republican
48,republican
6,republican
337,republican
304,republican
55,republican
326,republican
197,republican
265,republican
195,republican
181,republican
268,republican
286,republican
178,republican
363,republican
250,republican
290,republican
270,republican
42,republican
204,republican
90,republican
303,republican
169,republican
331,republican
242,republican
75,republican
99,republican
118,republican
251,republican
148,republican
155,republican
92,republican
317,republican
100,republican
70,republican
385,republican
416,republican
321,republican
256,republican
391,republican
332,republican
221,republican
257,republican
358,republican
284,republican
179,republican
37,republican
71,republican
63,republican
73,republican
88,republican
40,republican
254,republican
412,republican
349,republican
186,republican
22,republican
103,republican
366,republican
206,republican
305,republican
400,republican
389,republican
239,republican
50,republican
271,republican
28,republican
372,republican
212,republican
159,republican
235,republican
227,republican
340,republican
291,republican
240,republican
133,republican
83,republican
404,republican
230,republican
143,republican
79,republican
134,republican
231,republican
249,republican
114,republican
80,republican
272,republican
434,republican
299,republican
323,republican
171,republican
307,republican
377,republican
292,republican
338,republican
196,republican
177,republican
426,republican
187,republican
280,republican
282,republican
115,republican
68,republican
295,republican
390,republican
189,republican
59,republican
175,republican
211,republican
43,republican
278,republican
67,republican
192,republican
207,republican
183,republican
23,republican
226,republican
116,republican
117,republican
420,republican
86,republican
262,republican
167,republican
52,republican
15,republican
41,republican
288,republican
132,republican
393,republican
64,republican
2,republican
94,republican
236,republican
232,republican
354,republican
157,republican
210,republican
84,republican
146,republican
399,republican
223,republican
371,republican
261,republican
316,republican
325,republican
260,republican
36,republican
172,republican
128,republican
89,republican
351,republican
253,republican
306,republican
263,republican
65,republican
17,republican
