ID,"handicapped-infants","water-project-cost-sharing","adoption-of-the-budget-resolution","physician-fee-freeze","el-salvador-aid","religious-groups-in-schools","anti-satellite-test-ban","aid-to-nicaraguan-contras","mx-missile","immigration","synfuels-crporation-cutback","education-spending","superfund-right-to-sue","crime","duty-free-exports","export-administration-act-south-africa"
107,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
241,n,n,n,y,n,y,y,unknown,y,n,n,y,y,y,n,y
51,y,y,y,n,n,n,y,y,y,n,y,n,n,n,y,y
428,n,n,n,y,y,y,y,y,n,y,n,y,y,y,n,y
376,n,y,n,y,y,y,n,n,n,n,y,y,n,y,n,n
161,n,y,n,n,y,y,n,n,n,n,n,y,y,y,y,y
7,n,y,n,y,y,y,n,n,n,n,n,n,unknown,y,y,y
352,n,n,y,y,y,y,y,y,y,y,n,y,y,y,y,y
34,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
432,n,n,y,n,n,n,y,y,y,y,n,n,n,n,n,y
147,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,y
126,n,unknown,n,y,y,y,n,n,n,y,n,y,y,y,n,y
335,n,y,y,n,n,y,y,y,unknown,n,y,y,n,n,y,y
355,n,y,y,n,n,y,y,y,y,y,n,unknown,n,n,y,y
336,n,n,n,y,y,y,n,n,n,y,y,y,y,y,n,unknown
150,n,n,y,n,n,n,y,y,y,y,n,n,y,n,y,y
82,y,n,y,n,n,n,y,y,unknown,y,y,y,n,y,n,y
367,y,n,y,n,n,n,y,y,n,y,y,n,n,n,n,unknown
300,n,y,y,n,n,y,y,y,y,y,n,n,y,y,y,y
252,n,y,n,y,y,y,n,n,n,n,n,y,y,y,n,n
279,n,n,n,y,y,y,n,n,n,n,n,y,y,y,n,y
302,n,n,unknown,n,n,y,y,y,y,n,n,n,n,n,y,y
259,n,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
269,y,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
27,y,n,y,n,n,n,y,y,y,n,y,n,n,n,y,y
343,n,y,y,n,y,unknown,y,n,n,y,y,n,y,n,y,y
168,y,n,y,y,y,y,y,y,n,y,y,y,n,y,y,y
124,y,unknown,n,y,y,y,n,y,n,n,n,y,y,y,n,y
309,n,n,n,y,y,y,n,n,n,y,n,y,y,y,n,n
81,y,n,y,n,n,y,y,y,y,y,n,y,n,y,n,unknown
224,n,n,n,y,y,n,n,n,n,n,n,y,y,y,n,y
330,y,unknown,y,n,n,y,y,y,y,y,n,n,n,n,y,unknown
319,n,n,y,n,n,n,y,y,y,n,n,n,n,n,y,unknown
173,n,y,y,n,n,n,y,y,y,y,n,n,unknown,n,y,y
297,n,n,y,y,y,y,n,n,n,y,n,y,y,y,y,y
131,y,unknown,y,n,unknown,unknown,y,y,y,n,n,n,n,n,y,unknown
370,n,y,n,y,y,y,n,n,n,n,n,n,y,y,n,y
202,y,y,y,n,n,n,y,y,y,n,n,n,n,n,y,y
342,n,unknown,y,unknown,n,y,y,y,y,y,y,n,unknown,unknown,y,y
10,y,y,y,n,n,n,y,y,y,n,n,n,n,n,unknown,unknown
111,n,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
191,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,unknown
378,n,y,n,y,y,y,unknown,unknown,n,n,unknown,unknown,y,unknown,unknown,unknown
127,n,unknown,n,y,y,y,n,n,n,n,n,y,y,y,n,n
180,y,n,y,n,n,n,y,y,y,y,n,n,n,n,y,y
5,y,y,y,n,y,y,n,n,n,n,y,unknown,y,y,y,y
417,y,y,n,y,y,y,n,n,n,y,n,n,y,y,n,y
102,y,n,y,n,y,y,y,n,n,n,y,n,n,y,n,y
182,n,n,y,n,n,n,y,y,y,y,y,n,n,n,y,y
54,y,y,n,y,y,y,n,n,n,y,n,y,y,y,n,n
14,y,y,y,n,n,y,y,y,unknown,y,y,unknown,n,n,y,unknown
384,y,y,y,n,y,y,n,y,y,y,y,n,n,n,n,y
